# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548266065.42743 -1.03994 -2.05637 1.79143 -0.147814 -0.0186838 -0.260693 0.953856
1548266065.46067 -1.03655 -2.05945 1.78638 -0.149682 -0.0144978 -0.258225 0.954309
1548266065.49432 -1.0339 -2.06279 1.78113 -0.148577 -0.0107448 -0.259027 0.954314
1548266065.52773 -1.03213 -2.06625 1.77623 -0.144519 -0.0129073 -0.256285 0.955649
1548266065.56108 -1.03112 -2.06915 1.77112 -0.14199 -0.0143572 -0.253191 0.956832
1548266065.59457 -1.03005 -2.0717 1.76587 -0.14036 -0.0118942 -0.257501 0.955956
1548266065.62777 -1.02942 -2.07459 1.76077 -0.140001 -0.00906139 -0.256304 0.956361
1548266065.66100 -1.02868 -2.07679 1.75553 -0.134188 -0.0140788 -0.257628 0.956778
1548266065.69454 -1.02825 -2.08012 1.75019 -0.139626 -0.00771582 -0.257126 0.956207
1548266065.72767 -1.02689 -2.08281 1.74487 -0.136706 -0.00916529 -0.256523 0.956778
1548266065.76120 -1.02573 -2.08646 1.73913 -0.137061 -0.00844927 -0.250087 0.958436
1548266065.79428 -1.02551 -2.08955 1.73294 -0.131642 -0.00716755 -0.255734 0.957716
1548266065.82769 -1.02414 -2.09362 1.72682 -0.129508 -0.00688112 -0.256911 0.957694
1548266065.86089 -1.02167 -2.09866 1.72066 -0.129219 -0.00502247 -0.251967 0.959057
1548266065.89442 -1.0201 -2.10347 1.71432 -0.120964 -0.00784515 -0.253038 0.959832
1548266065.92763 -1.01857 -2.10797 1.70778 -0.114036 -0.00652408 -0.257954 0.959382
1548266065.96112 -1.0171 -2.11261 1.70144 -0.108012 -0.0046842 -0.258612 0.959912
1548266065.99413 -1.01559 -2.11665 1.6951 -0.106653 -0.00557184 -0.256972 0.9605
1548266066.02758 -1.01461 -2.12015 1.68842 -0.108803 -0.00408808 -0.255648 0.960619
1548266066.06087 -1.01281 -2.12528 1.6827 -0.10327 -0.00318692 -0.256861 0.96091
1548266066.09411 -1.01155 -2.12949 1.67666 -0.102017 -0.00105209 -0.253951 0.961821
1548266066.12739 -1.011 -2.13311 1.67047 -0.101429 -0.000545788 -0.25108 0.962637
1548266066.16102 -1.01004 -2.13828 1.66487 -0.0992344 0.000304597 -0.253093 0.962339
1548266066.19436 -1.00922 -2.14329 1.65918 -0.0958375 0.00216143 -0.250876 0.963261
1548266066.22742 -1.00873 -2.14819 1.65351 -0.0957885 0.00222127 -0.247993 0.964012
1548266066.26077 -1.00892 -2.15316 1.64768 -0.0963498 0.00409288 -0.247423 0.964096
1548266066.29410 -1.00884 -2.15947 1.64239 -0.0915922 0.00584118 -0.24693 0.964677
1548266066.32776 -1.00939 -2.1649 1.63661 -0.0910124 0.00452406 -0.241808 0.966036
1548266066.36127 -1.01049 -2.16992 1.63054 -0.093961 0.00394979 -0.235949 0.967204
1548266066.39431 -1.0115 -2.17573 1.62486 -0.0916579 0.00445894 -0.23478 0.967707
1548266066.42780 -1.01255 -2.18172 1.61946 -0.0876864 0.00292027 -0.230286 0.96916
1548266066.46100 -1.01381 -2.18711 1.61359 -0.0867543 0.000221904 -0.224208 0.970672
1548266066.49434 -1.01478 -2.19287 1.60782 -0.0857836 -0.000627838 -0.218278 0.972109
1548266066.52756 -1.01568 -2.19865 1.60197 -0.0847737 -0.00207311 -0.212053 0.973572
1548266066.56092 -1.01587 -2.20467 1.59615 -0.0840268 -0.00112532 -0.208243 0.97446
1548266066.59443 -1.01576 -2.21069 1.59074 -0.0826639 -0.00135812 -0.203094 0.975663
1548266066.62749 -1.01541 -2.21641 1.58537 -0.0834455 -0.000334227 -0.196713 0.976904
1548266066.66126 -1.01496 -2.22196 1.58013 -0.0830382 -0.000718408 -0.190904 0.97809
1548266066.69436 -1.01424 -2.22765 1.57525 -0.0831479 1.65892e-05 -0.184771 0.979258
1548266066.72751 -1.01325 -2.23373 1.57058 -0.0830612 0.00182226 -0.180038 0.980145
1548266066.76087 -1.01223 -2.24019 1.56594 -0.082289 0.0035571 -0.175617 0.981007
1548266066.79442 -1.01174 -2.24684 1.56124 -0.0813526 0.00399704 -0.169014 0.982242
1548266066.82761 -1.01201 -2.25364 1.55669 -0.0794962 0.00377062 -0.163664 0.983301
1548266066.86067 -1.01274 -2.26053 1.55242 -0.0780423 0.00226508 -0.157845 0.984373
